metric_candidate_id,source_evidence_id,source_name,source_type,entity_type,entity_id,segment_id,company_id,stock_code,metric_name,metric_category,period,period_type,value,unit,currency,original_value_text,original_unit_text,table_id,page_no_or_section,calculation_method,is_estimate,is_reported,confidence,review_status,promote_to_metric_id,created_at,notes
metric_company_cn_002837_invic_net_profit_attributable_20260331_dba127,market_data_tushare_income_selected_stocks_20260701_f1c8b2,tushare,structured_financial_data,company,cn_002837_invic,,cn_002837_invic,002837.SZ,net_profit_attributable,income_statement,20260331,quarterly,8657602.27,CNY,CNY,8657602.27,CNY,tushare_snapshot,csv,Tushare snapshot value; no restatement adjustment in P1,false,true,medium,draft,,2026-07-01,公司整体财务指标；不能直接等同AI服务器液冷业务贡献。; metric_only; does not prove business exposure
metric_company_cn_002837_invic_basic_eps_20260331_58d830,market_data_tushare_income_selected_stocks_20260701_f1c8b2,tushare,structured_financial_data,company,cn_002837_invic,,cn_002837_invic,002837.SZ,basic_eps,income_statement,20260331,quarterly,0.01,CNY/share,CNY,0.01,CNY/share,tushare_snapshot,csv,Tushare snapshot value; no restatement adjustment in P1,false,true,medium,draft,,2026-07-01,公司整体财务指标；不能直接等同AI服务器液冷业务贡献。; metric_only; does not prove business exposure
metric_company_cn_002837_invic_gross_margin_20260331_273f9a,market_data_tushare_fina_indicator_selected_stocks_20260701_c3e4a9,tushare,structured_financial_data,company,cn_002837_invic,,cn_002837_invic,002837.SZ,gross_margin,financial_indicator,20260331,quarterly,24.2935,%,,24.2935,%,tushare_snapshot,csv,Tushare snapshot value; no restatement adjustment in P1,false,true,medium,draft,,2026-07-01,公司整体财务指标；不能直接等同AI服务器液冷业务贡献。; metric_only; does not prove business exposure
metric_company_cn_002837_invic_net_profit_margin_20260331_b5c7bd,market_data_tushare_fina_indicator_selected_stocks_20260701_c3e4a9,tushare,structured_financial_data,company,cn_002837_invic,,cn_002837_invic,002837.SZ,net_profit_margin,financial_indicator,20260331,quarterly,1.2049,%,,1.2049,%,tushare_snapshot,csv,Tushare snapshot value; no restatement adjustment in P1,false,true,medium,draft,,2026-07-01,公司整体财务指标；不能直接等同AI服务器液冷业务贡献。; metric_only; does not prove business exposure
metric_company_cn_002837_invic_roe_dt_20260331_f47282,market_data_tushare_fina_indicator_selected_stocks_20260701_c3e4a9,tushare,structured_financial_data,company,cn_002837_invic,,cn_002837_invic,002837.SZ,roe_dt,financial_indicator,20260331,quarterly,0.1561,%,,0.1561,%,tushare_snapshot,csv,Tushare snapshot value; no restatement adjustment in P1,false,true,medium,draft,,2026-07-01,公司整体财务指标；不能直接等同AI服务器液冷业务贡献。; metric_only; does not prove business exposure
metric_company_cn_002837_invic_operating_cash_flow_per_share_20260331_b46f68,market_data_tushare_fina_indicator_selected_stocks_20260701_c3e4a9,tushare,structured_financial_data,company,cn_002837_invic,,cn_002837_invic,002837.SZ,operating_cash_flow_per_share,financial_indicator,20260331,quarterly,-0.3953,CNY/share,CNY,-0.3953,CNY/share,tushare_snapshot,csv,Tushare snapshot value; no restatement adjustment in P1,false,true,medium,draft,,2026-07-01,公司整体财务指标；不能直接等同AI服务器液冷业务贡献。; metric_only; does not prove business exposure
metric_company_cn_002837_invic_debt_to_assets_20260331_d5094b,market_data_tushare_fina_indicator_selected_stocks_20260701_c3e4a9,tushare,structured_financial_data,company,cn_002837_invic,,cn_002837_invic,002837.SZ,debt_to_assets,financial_indicator,20260331,quarterly,55.1085,%,,55.1085,%,tushare_snapshot,csv,Tushare snapshot value; no restatement adjustment in P1,false,true,medium,draft,,2026-07-01,公司整体财务指标；不能直接等同AI服务器液冷业务贡献。; metric_only; does not prove business exposure
metric_company_cn_002837_invic_net_operating_cash_flow_20260331_2feaa9,market_data_tushare_cashflow_selected_stocks_20260701_d5b6c1,tushare,structured_financial_data,company,cn_002837_invic,,cn_002837_invic,002837.SZ,net_operating_cash_flow,cash_flow,20260331,quarterly,-386363968.71,CNY,CNY,-386363968.71,CNY,tushare_snapshot,csv,Tushare snapshot value; no restatement adjustment in P1,false,true,medium,draft,,2026-07-01,公司整体财务指标；不能直接等同AI服务器液冷业务贡献。; metric_only; does not prove business exposure
metric_company_cn_002837_invic_inventories_20260331_b2311b,market_data_tushare_balancesheet_selected_stocks_20260701_a8f0d7,tushare,structured_financial_data,company,cn_002837_invic,,cn_002837_invic,002837.SZ,inventories,balance_sheet,20260331,quarterly,1181981088.85,CNY,CNY,1181981088.85,CNY,tushare_snapshot,csv,Tushare snapshot value; no restatement adjustment in P1,false,true,medium,draft,,2026-07-01,公司整体财务指标；不能直接等同AI服务器液冷业务贡献。; metric_only; does not prove business exposure
metric_company_cn_002837_invic_accounts_receivable_20260331_688db8,market_data_tushare_balancesheet_selected_stocks_20260701_a8f0d7,tushare,structured_financial_data,company,cn_002837_invic,,cn_002837_invic,002837.SZ,accounts_receivable,balance_sheet,20260331,quarterly,3060887771.01,CNY,CNY,3060887771.01,CNY,tushare_snapshot,csv,Tushare snapshot value; no restatement adjustment in P1,false,true,medium,draft,,2026-07-01,公司整体财务指标；不能直接等同AI服务器液冷业务贡献。; metric_only; does not prove business exposure
metric_company_cn_300731_cotran_total_revenue_20251231_d79602,market_data_tushare_income_selected_stocks_20260701_f1c8b2,tushare,structured_financial_data,company,cn_300731_cotran,,cn_300731_cotran,300731.SZ,total_revenue,income_statement,20251231,annual,1156901217.87,CNY,CNY,1156901217.87,CNY,tushare_snapshot,csv,Tushare snapshot value; no restatement adjustment in P1,false,true,medium,draft,,2026-07-01,公司整体财务指标；不能直接等同AI服务器液冷业务贡献。; metric_only; does not prove business exposure
metric_company_cn_300731_cotran_net_profit_attributable_20251231_4e622c,market_data_tushare_income_selected_stocks_20260701_f1c8b2,tushare,structured_financial_data,company,cn_300731_cotran,,cn_300731_cotran,300731.SZ,net_profit_attributable,income_statement,20251231,annual,35609646.01,CNY,CNY,35609646.01,CNY,tushare_snapshot,csv,Tushare snapshot value; no restatement adjustment in P1,false,true,medium,draft,,2026-07-01,公司整体财务指标；不能直接等同AI服务器液冷业务贡献。; metric_only; does not prove business exposure
metric_company_cn_300731_cotran_basic_eps_20251231_31653f,market_data_tushare_income_selected_stocks_20260701_f1c8b2,tushare,structured_financial_data,company,cn_300731_cotran,,cn_300731_cotran,300731.SZ,basic_eps,income_statement,20251231,annual,0.28,CNY/share,CNY,0.28,CNY/share,tushare_snapshot,csv,Tushare snapshot value; no restatement adjustment in P1,false,true,medium,draft,,2026-07-01,公司整体财务指标；不能直接等同AI服务器液冷业务贡献。; metric_only; does not prove business exposure
metric_company_cn_300731_cotran_gross_margin_20251231_8793dd,market_data_tushare_fina_indicator_selected_stocks_20260701_c3e4a9,tushare,structured_financial_data,company,cn_300731_cotran,,cn_300731_cotran,300731.SZ,gross_margin,financial_indicator,20251231,annual,19.2416,%,,19.2416,%,tushare_snapshot,csv,Tushare snapshot value; no restatement adjustment in P1,false,true,medium,draft,,2026-07-01,公司整体财务指标；不能直接等同AI服务器液冷业务贡献。; metric_only; does not prove business exposure
metric_company_cn_300731_cotran_net_profit_margin_20251231_e13ae1,market_data_tushare_fina_indicator_selected_stocks_20260701_c3e4a9,tushare,structured_financial_data,company,cn_300731_cotran,,cn_300731_cotran,300731.SZ,net_profit_margin,financial_indicator,20251231,annual,4.2821,%,,4.2821,%,tushare_snapshot,csv,Tushare snapshot value; no restatement adjustment in P1,false,true,medium,draft,,2026-07-01,公司整体财务指标；不能直接等同AI服务器液冷业务贡献。; metric_only; does not prove business exposure
metric_company_cn_300731_cotran_roe_dt_20251231_273942,market_data_tushare_fina_indicator_selected_stocks_20260701_c3e4a9,tushare,structured_financial_data,company,cn_300731_cotran,,cn_300731_cotran,300731.SZ,roe_dt,financial_indicator,20251231,annual,4.8039,%,,4.8039,%,tushare_snapshot,csv,Tushare snapshot value; no restatement adjustment in P1,false,true,medium,draft,,2026-07-01,公司整体财务指标；不能直接等同AI服务器液冷业务贡献。; metric_only; does not prove business exposure
metric_company_cn_300731_cotran_operating_cash_flow_per_share_20251231_851118,market_data_tushare_fina_indicator_selected_stocks_20260701_c3e4a9,tushare,structured_financial_data,company,cn_300731_cotran,,cn_300731_cotran,300731.SZ,operating_cash_flow_per_share,financial_indicator,20251231,annual,0.3382,CNY/share,CNY,0.3382,CNY/share,tushare_snapshot,csv,Tushare snapshot value; no restatement adjustment in P1,false,true,medium,draft,,2026-07-01,公司整体财务指标；不能直接等同AI服务器液冷业务贡献。; metric_only; does not prove business exposure
