bonus_ratio,bonus_rmb,event_date,plan,transfer_ratio
,1.7,2026-06-01,实施分配,
,2,2025-05-30,实施分配,
,2,2024-05-27,实施分配,
,1.9,2023-05-19,实施分配,
,1.8,2022-05-31,实施分配,
,1.8,2021-05-27,实施分配,
,2.3,2020-05-29,实施分配,
,1.5,2019-05-17,实施分配,
,0.6,2018-03-16,实施分配,
0,2.923549,2017-06-01,实施分配,
