ts_code,end_date,bz_item,bz_code,bz_sales,bz_profit,bz_cost,curr_type
300731.SZ,20240630,汽车密封条,P,81294973.97,15547795.32,65747178.65,CNY
300731.SZ,20240630,散热金属结构件,P,151573043.55,-1769939.52,153342983.07,CNY
300731.SZ,20240630,其他收入,P,29465368.69,16210000.63,13255368.06,CNY
300731.SZ,20240630,通信行业,I,56302797.78,30783769.44,25519028.34,CNY
300731.SZ,20240630,电力行业,I,80278713.39,26748897.52,53529815.87,CNY
300731.SZ,20240630,汽车行业,I,81362194.97,14988048.24,66374146.73,CNY
300731.SZ,20240630,新能源行业,I,89602328.15,737040.64,88865287.51,CNY
300731.SZ,20240630,传统家电行业,I,68100077.46,6297709.66,61802367.8,CNY
300731.SZ,20240630,西南,D,11554062.01,-1801344.14,13355406.15,CNY
300731.SZ,20240630,西北,D,34099.88,14714.39,19385.49,CNY
300731.SZ,20240630,国外,D,23120497.96,10070398.32,13050099.64,CNY
300731.SZ,20240630,华南,D,41393814.45,21077607.29,20316207.16,CNY
300731.SZ,20240630,华北,D,36854302.56,11362724.77,25491577.79,CNY
300731.SZ,20240630,华中,D,16734035.82,2374696.83,14359338.99,CNY
300731.SZ,20240630,华东,D,234039410.4,33124711.93,200914698.47,CNY
300731.SZ,20240630,东北,D,11915888.67,3331956.11,8583932.56,CNY
