ts_code,ann_date,end_date,eps,dt_eps,total_revenue_ps,revenue_ps,capital_rese_ps,surplus_rese_ps,undist_profit_ps,extra_item,profit_dedt,gross_margin,current_ratio,quick_ratio,cash_ratio,ar_turn,ca_turn,fa_turn,assets_turn,op_income,ebit,ebitda,fcff,fcfe,current_exint,noncurrent_exint,interestdebt,netdebt,tangible_asset,working_capital,networking_capital,invest_capital,retained_earnings,diluted2_eps,bps,ocfps,retainedps,cfps,ebit_ps,fcff_ps,fcfe_ps,netprofit_margin,grossprofit_margin,cogs_of_sales,expense_of_sales,profit_to_gr,saleexp_to_gr,adminexp_of_gr,finaexp_of_gr,impai_ttm,gc_of_gr,op_of_gr,ebit_of_gr,roe,roe_waa,roe_dt,roa,npta,roic,roe_yearly,roa2_yearly,debt_to_assets,assets_to_eqt,dp_assets_to_eqt,ca_to_assets,nca_to_assets,tbassets_to_totalassets,int_to_talcap,eqt_to_talcapital,currentdebt_to_debt,longdeb_to_debt,ocf_to_shortdebt,debt_to_eqt,eqt_to_debt,eqt_to_interestdebt,tangibleasset_to_debt,tangasset_to_intdebt,tangibleasset_to_netdebt,ocf_to_debt,turn_days,roa_yearly,roa_dp,fixed_assets,profit_to_op,q_saleexp_to_gr,q_gc_to_gr,q_roe,q_dt_roe,q_npta,q_ocf_to_sales,basic_eps_yoy,dt_eps_yoy,cfps_yoy,op_yoy,ebt_yoy,netprofit_yoy,dt_netprofit_yoy,ocf_yoy,roe_yoy,bps_yoy,assets_yoy,eqt_yoy,tr_yoy,or_yoy,q_sales_yoy,q_op_qoq,equity_yoy
301018.SZ,20260429,20260331,0.11,0.11,2.3197,2.3197,5.8126,0.5,3.06,2663860.87,25641958.56,127107120.24,1.5133,1.1057,0.9992,0.2802,0.1364,0.3585,0.0926,22120873.04,37344974.74,,-407125034.1942,49334765.8958,2279781588.4,194095449.79,1733750412.35,839560298.31,2456117581.92,1627260876.59,1620335985.04,4518078487.17,947152516.71,0.1064,10.3727,-0.7267,3.56,1.1681,0.1404,-1.5302,0.1854,5.0547,20.5955,79.4045,21.9632,5.0547,7.5087,13.274,1.1805,0.9701,96.4157,4.9017,6.0511,1.0318,1.03,0.9347,0.5601,0.4679,0.8749,4.1272,2.2404,60.1781,2.5112,2.4303,68.6099,31.3901,35.1278,38.3736,61.0812,75.3373,24.6627,-0.061,1.5112,0.6559,1.5917,0.5837,1.4167,2.9255,-0.046,556.2474,1.8716,0.4246,1754026428.03,5.0796,7.5087,96.4157,1.0318,0.9347,0.4679,-31.3295,-45.0,-45.0,-117.055,-51.2913,-48.0504,-47.7127,-52.56,-117.052,-50.9069,1.205,10.2453,1.2051,-1.8019,-1.8019,-1.8019,-61.3938,6.5063
301018.SZ,20260427,20251231,0.81,0.81,15.8209,15.8209,5.7943,0.5,2.9536,9557561.38,207219611.8,1009723336.83,1.4942,1.1886,1.09,2.1377,1.0828,2.8975,0.7194,218514551.15,274099798.03,389277996.18,-102626339.5677,245439876.1123,2169701521.45,195488830.19,1228412027.31,635531254.13,2469992355.83,1405519221.06,1283369102.47,3976989916.85,918846697.28,0.8148,10.2492,1.2213,3.4536,0.3248,1.0302,-0.3857,0.9225,5.3494,23.9885,76.0115,16.2804,5.3494,6.4673,9.2183,0.5948,-0.2743,94.8086,5.9632,6.5119,8.2418,8.24,7.8785,4.6847,3.8484,6.642,8.2418,4.6847,56.6619,2.3074,2.2245,67.0011,32.9989,38.9455,30.888,68.5653,79.1354,20.8646,0.1143,1.3074,0.7588,2.2198,0.6873,2.0107,3.8865,0.0904,289.6133,3.8484,3.705,1765991875.17,5.9951,8.0377,95.7361,2.479,2.3693,1.1608,19.3765,88.3721,88.3721,140.1298,112.6438,122.5887,87.5858,84.29,140.1261,74.2911,7.628,18.3291,7.6279,39.5538,39.5538,63.7425,44318.8461,7.6279
301018.SZ,20251030,20250930,0.56,0.56,9.4252,9.4252,5.7706,0.4275,2.7755,6604113.88,143485167.63,580831352.05,1.5547,1.1248,1.0049,1.4069,0.6798,1.7501,0.4465,145960124.1,189691510.93,,-444873333.9342,-159231992.0042,1879603295.72,195461232.65,1126581455.4,645395357.61,2421971209.65,1374376734.7,1475543625.93,3797408983.48,852158805.61,0.5641,9.9728,-0.0179,3.203,-0.117,0.713,-1.6721,-0.5985,6.1523,23.1628,76.8372,16.7871,6.1523,5.4016,10.6925,0.693,-0.1113,94.1793,6.8848,7.5647,5.7873,5.75,5.5326,3.3776,2.747,4.6796,7.7164,4.5035,54.5195,2.1987,2.1655,65.5966,34.4034,41.2428,29.6671,69.8711,77.3905,22.6095,-0.0019,1.1987,0.8287,2.3552,0.7565,2.1498,3.7527,-0.0015,357.0893,3.6627,2.6725,1745783416.06,6.942,6.0137,101.8012,-0.0123,-0.2053,0.016,12.9109,3.7037,3.7037,-108.6683,11.0882,15.1089,5.0549,1.85,-108.689,1.679,4.7255,9.5656,4.725,26.8391,26.8391,22.7425,-100.1601,3.3201
301018.SZ,20250829,20250630,0.57,0.57,6.3227,6.3227,5.7487,0.4275,2.7767,1488325.37,148925966.56,410687537.46,1.5625,1.1853,1.0763,0.8998,0.448,1.1912,0.2974,160827861.78,180925381.12,223822486.01,-271307447.4179,55773264.3421,1933847616.69,198182172.6,1156874238.74,654896891.78,2431958377.52,1434446846.9,1466290381.32,3821388678.8,852483816.03,0.5654,9.9539,-0.4185,3.2042,-0.0443,0.68,-1.0198,0.2096,9.1148,24.414,75.586,15.6543,9.1148,5.1013,9.9553,0.5977,-0.0644,90.4393,10.2737,10.7554,5.8055,5.77,5.748,3.1985,2.7106,4.4841,11.611,6.397,55.244,2.2343,2.1832,66.9263,33.0737,40.8498,30.2737,69.3007,77.5321,22.4679,-0.0437,1.2343,0.8052,2.2891,0.7394,2.1022,3.7135,-0.0339,358.4534,5.4212,2.6591,1721916632.33,10.203,4.8491,89.9273,3.6752,3.6215,1.755,-2.1127,35.7143,35.7143,-338.6792,42.1824,42.3212,35.9526,38.45,-338.5641,29.6066,4.527,11.0758,4.5261,28.951,28.951,30.0315,78.2637,4.8964
301018.SZ,20250429,20250331,0.2,0.2,2.3623,2.3623,5.7361,0.4275,2.5748,82253.99,54052954.8,138222471.84,1.6394,1.2265,1.1044,0.3685,0.1784,0.5098,0.117,54692519.16,64253058.61,,-224212453.5897,-63104946.1197,1589666148.21,201314118.23,989376049.49,473946563.76,2392515680.66,1373095795.84,1363332316.85,3593544542.87,798773143.13,0.2035,9.7391,-0.3348,3.0023,0.0184,0.2415,-0.8427,-0.2372,8.5666,21.993,78.007,18.0269,8.5666,5.5241,11.8745,0.6283,0.2588,91.2977,9.882,10.2235,2.1127,2.11,2.1095,1.196,1.0022,1.6423,8.4508,4.784,51.6361,2.0677,2.0966,65.3858,34.6142,44.4332,27.532,72.1046,77.2426,22.7574,-0.0415,1.0677,0.9319,2.6189,0.8605,2.4182,5.0481,-0.032,442.9528,4.0088,1.0077,1568660653.22,9.6017,5.5241,91.2977,2.1127,2.1095,1.0022,-14.174,5.2632,5.2632,-718.854,7.1482,11.3434,7.3386,4.54,-719.0767,3.6258,2.2714,0.4617,2.2709,27.1792,27.1792,27.1792,266.1836,3.5828
301018.SZ,20250428,20241231,0.43,0.43,11.3368,11.3368,5.7234,0.4275,2.3713,3120457.19,112441162.5,717897468.29,1.5637,1.1807,1.0639,1.9893,0.8908,2.6065,0.5957,84814161.02,124514149.41,208200016.92,109226460.0139,130472809.8139,1767042262.57,205189341.86,840618844.18,333809177.09,2329567182.57,1270878103.15,1169386367.79,3387548384.74,744637934.34,0.4344,9.5228,0.5086,2.7988,-0.0905,0.468,0.4105,0.4904,3.6841,23.8015,76.1985,18.5364,3.6841,7.1462,10.9221,0.4681,-0.2703,97.188,3.9135,4.1282,4.6365,4.65,4.5113,2.4592,2.1946,3.6631,4.6365,2.4592,52.4807,2.1044,2.0315,65.7774,34.2226,43.4639,24.815,74.7909,80.1552,19.8448,0.06,1.1044,0.9007,3.0139,0.8282,2.7713,6.9787,0.0481,333.1237,2.1946,2.2824,1563769673.45,3.7587,5.6232,104.4004,-1.0705,-1.1148,-0.4928,7.7352,7.5,7.5,876.1996,-10.3496,4.8365,10.1673,-4.13,877.1649,6.588,3.357,12.4409,3.3581,20.1096,20.1096,59.9881,-210.3647,3.3581
301018.SZ,20241029,20240930,0.54,0.54,7.4308,7.4308,5.7505,0.3804,2.521,1990001.63,140877452.71,521246997.16,1.7711,1.3307,1.2028,1.3492,0.5828,1.756,0.3963,130542310.06,161383331.24,,-45373426.0449,92797433.3351,1508036118.16,206697481.44,916528879.07,442464376.65,2373854398.95,1540372315.94,1555873394.95,3496648879.95,771943768.99,0.537,9.6523,0.2065,2.9015,-0.2294,0.6066,-0.1705,0.3488,6.9381,26.3656,73.6344,20.2371,6.9381,7.9467,11.6907,0.5997,0.322,93.3969,7.861,8.1631,5.6927,5.66,5.6134,3.2347,2.7493,4.3227,7.5903,4.3129,50.4907,2.0198,1.988,67.8894,32.1106,45.5513,26.2116,73.4426,75.918,24.082,0.0275,1.0198,0.976,2.8019,0.9022,2.59,5.3651,0.0209,378.6074,3.6657,2.8636,1421936981.64,7.6494,8.3937,96.1752,1.2658,1.3083,0.5693,11.9443,-6.8966,-6.8966,217.1964,-20.097,-11.502,-4.1093,-15.32,217.213,-5.9389,4.7626,9.3277,4.7635,6.1956,6.1956,-5.5752,-46.7445,1.9451
301018.SZ,20240827,20240630,0.42,0.42,4.9032,4.9032,5.7194,0.3804,2.3891,3072616.87,107564648.3,345038331.79,1.9496,1.5097,1.3611,0.8846,0.3838,1.1525,0.2635,104821382.2,125413188.72,166740352.97,116767927.6985,247013314.4285,1469108164.06,210882791.05,914201576.55,531157226.76,2329882297.16,1729951947.44,1699526568.74,3453708075.53,736833579.82,0.4158,9.4892,-0.0954,2.7695,-0.5765,0.4714,0.4389,0.9284,8.2573,26.4496,73.5504,19.2754,8.2573,7.7163,11.1345,0.4246,0.3874,91.9647,9.3176,9.6138,4.4469,4.41,4.3234,2.5335,2.176,3.3292,8.8938,5.067,50.5326,2.0215,1.9897,69.1836,30.8164,45.3841,26.4701,73.0992,70.2233,29.7767,-0.0139,1.0215,0.9732,2.7616,0.8981,2.5485,4.3864,-0.0098,376.4423,4.352,2.235,1361946025.3,9.2445,7.1501,93.3024,2.3956,2.2228,1.1996,-4.9087,23.5294,23.5294,34.0705,1.8139,24.2114,27.2847,0.73,33.6773,22.8332,2.9923,7.698,2.9932,13.4887,13.4887,18.0105,9.6988,3.624
301018.SZ,20240429,20240331,0.19,0.19,1.8574,1.8574,5.6845,0.3788,2.3385,-1270322.74,51704399.15,128324533.87,2.2391,1.736,1.3239,0.3712,0.1524,0.436,0.1037,50547765.6,57706846.42,,-126345326.7895,-86078968.4295,1206876880.06,215120949.87,825294518.74,385199653.56,2302235827.94,1791483714.82,1590336172.47,3344398028.37,722941227.74,0.1896,9.4022,0.0541,2.7173,-0.3431,0.2169,-0.4749,-0.3235,9.7815,25.9676,74.0324,21.596,9.7815,8.6448,12.1253,0.826,1.3658,89.7712,11.7295,11.6775,2.0366,2.04,2.0879,1.2107,1.0141,1.5548,8.1464,4.8428,47.1487,1.8921,1.9248,67.9194,32.0806,48.3014,24.6769,74.7963,64.3363,35.6637,0.01,0.8921,1.1131,3.031,1.0244,2.7896,5.9767,0.0064,458.7511,4.0564,1.0581,1302865083.35,10.9673,8.6448,89.7712,2.0366,2.0879,1.0141,2.9118,11.7647,11.7647,140.343,25.319,17.1262,21.9187,30.96,144.7167,18.4934,2.0481,-0.0075,2.049,6.7795,6.7795,6.7795,192.2483,2.8907
