ts_code,trade_date,close,turnover_rate,turnover_rate_f,volume_ratio,pe,pe_ttm,pb,ps,ps_ttm,dv_ratio,dv_ttm,total_share,float_share,free_share,total_mv,circ_mv
300731.SZ,20260710,52.1,3.7753,4.7263,0.83,259.3827,409.8812,14.9378,7.9839,8.1817,0.1095,0.0548,17728.4525,16825.0864,13439.6897,923652.766,876587.189
300731.SZ,20260709,53.98,5.1461,6.4424,1.07,268.7424,424.6715,15.4768,8.2719,8.4769,0.1057,0.0529,17728.4525,16825.0864,13439.6897,956982.2708,908218.3582
300731.SZ,20260708,50.66,3.543,4.4355,0.65,252.2136,398.5524,14.5249,7.7632,7.9556,0.1126,0.0564,17728.4525,16825.0864,13439.6897,898123.7836,852359.0594
300731.SZ,20260707,53.5,5.1106,6.3979,0.98,266.3527,420.8953,15.3392,8.1984,8.4016,0.1066,0.0534,17728.4525,16825.0864,13439.6897,948472.61,900142.315
300731.SZ,20260706,52.74,4.53,5.6711,0.82,262.569,414.9162,15.1213,8.0819,8.2822,0.1082,0.0542,17728.4525,16825.0864,13439.6897,934998.9804,887355.2466
300731.SZ,20260703,53.27,4.4079,5.5182,0.75,265.2077,419.0858,15.2733,8.1631,8.3654,0.1071,0.0536,17728.4525,16825.0864,13439.6897,944395.0642,896272.5443
300731.SZ,20260702,53.28,6.3867,7.9954,1.17,265.2574,419.1645,15.2761,8.1647,8.367,0.1071,0.0536,17728.4525,16825.0864,13439.6897,944572.3488,896440.7952
300731.SZ,20260701,55.47,6.7554,8.457,1.33,276.1605,436.3936,15.904,8.5003,8.7109,0.1029,0.0515,17728.4525,16825.0864,13439.6897,983397.6762,933287.7423
