ts_code,trade_date,close,turnover_rate,turnover_rate_f,volume_ratio,pe,pe_ttm,pb,ps,ps_ttm,dv_ratio,dv_ttm,total_share,float_share,free_share,total_mv,circ_mv
301018.SZ,20260710,119.56,7.0836,11.8429,0.85,206.4289,234.3524,16.2152,10.6313,10.6599,0.0951,0.1494,37428.1339,28282.2899,16916.6673,4474907.2228,3381430.5924
301018.SZ,20260709,123.55,7.8309,13.0921,0.96,213.3179,242.1733,16.7564,10.986,11.0157,0.0921,0.1445,37428.1339,28282.2899,16916.6673,4624245.4615,3494276.9295
301018.SZ,20260708,117.88,7.7649,12.9819,0.94,203.5283,231.0594,15.9874,10.4819,10.5101,0.0965,0.1515,37428.1339,28282.2899,16916.6673,4412027.9644,3333916.3452
301018.SZ,20260707,118.08,7.772,12.9937,0.95,203.8736,231.4514,16.0145,10.4997,10.528,0.0963,0.1512,37428.1339,28282.2899,16916.6673,4419513.5904,3339572.8032
301018.SZ,20260706,125.0,8.38,14.0101,1.07,215.8214,245.0155,16.953,11.115,11.145,0.091,0.1429,37428.1339,28282.2899,16916.6673,4678516.25,3535286.25
301018.SZ,20260703,117.78,9.827,16.4294,1.38,203.3556,230.8634,15.9738,10.473,10.5012,0.0966,0.1516,37428.1339,28282.2899,16916.6673,4408285.1514,3331088.1162
301018.SZ,20260702,107.56,7.0276,11.7491,0.97,185.71,210.8309,14.5877,9.5642,9.59,0.1057,0.166,37428.1339,28282.2899,16916.6673,4025769.6628,3042043.1124
301018.SZ,20260701,109.92,8.0971,13.5373,1.15,189.7847,215.4568,14.9078,9.7741,9.8004,0.1035,0.1625,37428.1339,28282.2899,16916.6673,4114100.0496,3108789.3168
