ts_code,trade_date,close,turnover_rate,pe_ttm,pb,ps_ttm,total_mv,circ_mv
002837.SZ,20260710,73.54,6.3693,194.2045,27.0715,14.8507,9371566.9584,8313388.8674
002837.SZ,20260709,75.87,6.5905,200.3575,27.9292,15.3213,9668490.4152,8576785.6047
002837.SZ,20260708,72.12,4.8138,190.4545,26.5488,14.564,9190609.3152,8152863.8172
002837.SZ,20260707,71.29,4.4681,188.2627,26.2433,14.3964,9084838.2984,8059035.7949
002837.SZ,20260706,74.06,5.7668,195.5777,27.2629,14.9558,9437833.1376,8372172.6886
002837.SZ,20260703,71.43,3.8289,188.6324,26.2948,14.4247,9102679.1928,8074862.2083
002837.SZ,20260702,71.4,4.6422,188.5531,26.2837,14.4186,9098856.144,8071470.834
002837.SZ,20260701,74.73,5.6017,197.347,27.5096,15.0911,9523214.5608,8447913.3813
