ts_code,trade_date,close,turnover_rate,turnover_rate_f,volume_ratio,pe,pe_ttm,pb,ps,ps_ttm,dv_ratio,dv_ttm,total_share,float_share,free_share,total_mv,circ_mv
300499.SZ,20260710,38.6,14.2575,14.851,1.02,415.1274,385.8974,8.4621,11.9122,11.9854,,0.171,30524.8564,27140.8406,26056.188,1178259.596,1047636.424
300499.SZ,20260709,39.09,14.5635,15.1698,1.14,420.3971,390.7961,8.5696,12.0634,12.1376,,0.1688,30524.8564,27140.8406,26056.188,1193216.7774,1060935.4356
300499.SZ,20260708,37.71,12.9984,13.5395,1.05,405.5558,376.9998,8.267,11.6375,11.7091,,0.175,30524.8564,27140.8406,26056.188,1151092.4706,1023481.0764
300499.SZ,20260707,38.48,11.0472,11.5071,0.92,413.8368,384.6977,8.4358,11.8751,11.9482,,0.1715,30524.8564,27140.8406,26056.188,1174596.6128,1044379.5232
300499.SZ,20260706,40.3,22.088,23.0075,2.14,433.4102,402.8929,8.8348,12.4368,12.5133,,0.1638,30524.8564,27140.8406,26056.188,1230151.858,1093775.852
300499.SZ,20260703,36.6,8.8965,9.2668,0.79,393.6182,365.9027,8.0237,11.2949,11.3644,,0.1803,30524.8564,27140.8406,26056.188,1117209.876,993354.744
300499.SZ,20260702,36.15,9.0963,9.475,0.69,388.7786,361.4039,7.925,11.1561,11.2247,,0.1826,30524.8564,27140.8406,26056.188,1103473.689,981141.366
300499.SZ,20260701,37.25,10.6714,11.1157,0.72,400.6087,372.401,8.1662,11.4955,11.5663,,0.1772,30524.8564,27140.8406,26056.188,1137051.035,1010996.29
