stock_code,ts_code,stock_name,trade_date,close_price,close_price_unit,turnover_rate_pct,volume_ratio,pe,pe_ttm,pb,ps,ps_ttm,total_share,total_share_unit,float_share,free_share,market_cap,market_cap_unit,circulating_market_cap,normalization_method,source_evidence_id
002837,002837.SZ,英维克,20260710,73.54,CNY_per_share,6.3693,1.25,179.5613,194.2045,27.0715,15.4449,14.8507,1274349692,shares,1130458146,747884272,93715669584,CNY,83133888674,Tushare daily_basic native 10k share/CNY fields multiplied by 10000; multiples unchanged,ev_structured_market_data_002837_20260710_eb0c08
300499,300499.SZ,高澜股份,20260710,38.6,CNY_per_share,14.2575,1.02,415.1274,385.8974,8.4621,11.9122,11.9854,305248564,shares,271408406,260561880,11782595960,CNY,10476364240,Tushare daily_basic native 10k share/CNY fields multiplied by 10000; multiples unchanged,ev_structured_market_data_002837_20260710_eb0c08
300602,300602.SZ,飞荣达,20260710,45.82,CNY_per_share,6.9334,0.89,73.7076,69.9482,6.4751,4.1171,3.8447,586443631,shares,401179301,302408221,26870845752,CNY,18382035526,Tushare daily_basic native 10k share/CNY fields multiplied by 10000; multiples unchanged,ev_structured_market_data_002837_20260710_eb0c08
300731,300731.SZ,科创新源,20260710,52.1,CNY_per_share,3.7753,0.83,259.3827,409.8812,14.9378,7.9839,8.1817,177284525,shares,168250864,134396897,9236527660,CNY,8765871890,Tushare daily_basic native 10k share/CNY fields multiplied by 10000; multiples unchanged,ev_structured_market_data_002837_20260710_eb0c08
301018,301018.SZ,申菱环境,20260710,119.56,CNY_per_share,7.0836,0.85,206.4289,234.3524,16.2152,10.6313,10.6599,374281339,shares,282822899,169166673,44749072228,CNY,33814305924,Tushare daily_basic native 10k share/CNY fields multiplied by 10000; multiples unchanged,ev_structured_market_data_002837_20260710_eb0c08
