period,base_model_eps,consensus_eps_min,consensus_eps_mean,consensus_eps_max,institution_count,base_minus_consensus_mean_pct,unit,claim_type,source_evidence_id,source_path,input_evidence_generation_id,limitations
2026E,0.379828,0.68,0.92,1.15,12,-58.7143,CNY_per_share,analyst_view,ev_third_party_research_002837_20260713_1ca4d1,data/processed/normalized/ths_consensus_adapter_consensus_eps_002837_2026-07-13_1ca4d1d4.csv,evidence_gen_r5_bundle8r_231a51f4673156df,external estimate distribution; not issuer guidance
2027E,0.536128,1.05,1.58,2.35,12,-66.0678,CNY_per_share,analyst_view,ev_third_party_research_002837_20260713_1ca4d1,data/processed/normalized/ths_consensus_adapter_consensus_eps_002837_2026-07-13_1ca4d1d4.csv,evidence_gen_r5_bundle8r_231a51f4673156df,external estimate distribution; not issuer guidance
2028E,0.695967,1.48,2.33,3.47,10,-70.1302,CNY_per_share,analyst_view,ev_third_party_research_002837_20260713_1ca4d1,data/processed/normalized/ths_consensus_adapter_consensus_eps_002837_2026-07-13_1ca4d1d4.csv,evidence_gen_r5_bundle8r_231a51f4673156df,external estimate distribution; not issuer guidance
