metric_id,entity_type,entity_id,metric_name,period,value,unit,source_evidence_id,calculation_method,is_estimate,confidence,created_at,status,review_status,notes
metric_cn_002837_invic_n_income_20251231_5835d4,company,cn_002837_invic,n_income,20251231,542679980.86,CNY,ev_structured_financial_data_002837_20260701_89213a,raw_adapter_snapshot_no_recalculation,false,medium,2026-07-02T16:41:18Z,active,reviewed_r3_candidate,Metric-only candidate generated from structured snapshot; api_params_hash=89213a966157f54a99fb9c7a56582424d1e66d7d9c39990d049c80f5e508f1aa; not business exposure evidence.; promoted_from=metric_income_002837_20251231_n_income_ee1a8032
metric_cn_002837_invic_n_income_attr_p_20251231_002a58,company,cn_002837_invic,n_income_attr_p,20251231,521914773.0,CNY,ev_structured_financial_data_002837_20260701_89213a,raw_adapter_snapshot_no_recalculation,false,medium,2026-07-02T16:41:18Z,active,reviewed_r3_candidate,Metric-only candidate generated from structured snapshot; api_params_hash=89213a966157f54a99fb9c7a56582424d1e66d7d9c39990d049c80f5e508f1aa; not business exposure evidence.; promoted_from=metric_income_002837_20251231_n_income_attr_p_c027b560
metric_cn_002837_invic_basic_eps_20251231_03d56b,company,cn_002837_invic,basic_eps,20251231,0.54,CNY,ev_structured_financial_data_002837_20260701_89213a,raw_adapter_snapshot_no_recalculation,false,medium,2026-07-02T16:41:18Z,active,reviewed_r3_candidate,Metric-only candidate generated from structured snapshot; api_params_hash=89213a966157f54a99fb9c7a56582424d1e66d7d9c39990d049c80f5e508f1aa; not business exposure evidence.; promoted_from=metric_income_002837_20251231_basic_eps_6368317c
metric_cn_002837_invic_diluted_eps_20251231_95d420,company,cn_002837_invic,diluted_eps,20251231,0.53,CNY,ev_structured_financial_data_002837_20260701_89213a,raw_adapter_snapshot_no_recalculation,false,medium,2026-07-02T16:41:18Z,active,reviewed_r3_candidate,Metric-only candidate generated from structured snapshot; api_params_hash=89213a966157f54a99fb9c7a56582424d1e66d7d9c39990d049c80f5e508f1aa; not business exposure evidence.; promoted_from=metric_income_002837_20251231_diluted_eps_30d3167f
metric_cn_002837_invic_total_revenue_20250930_9f2d72,company,cn_002837_invic,total_revenue,20250930,4026030778.35,CNY,ev_structured_financial_data_002837_20260701_89213a,raw_adapter_snapshot_no_recalculation,false,medium,2026-07-02T16:41:18Z,active,reviewed_r3_candidate,Metric-only candidate generated from structured snapshot; api_params_hash=89213a966157f54a99fb9c7a56582424d1e66d7d9c39990d049c80f5e508f1aa; not business exposure evidence.; promoted_from=metric_income_002837_20250930_total_revenue_47824fae
metric_cn_002837_invic_revenue_20250930_179162,company,cn_002837_invic,revenue,20250930,4026030778.35,CNY,ev_structured_financial_data_002837_20260701_89213a,raw_adapter_snapshot_no_recalculation,false,medium,2026-07-02T16:41:18Z,active,reviewed_r3_candidate,Metric-only candidate generated from structured snapshot; api_params_hash=89213a966157f54a99fb9c7a56582424d1e66d7d9c39990d049c80f5e508f1aa; not business exposure evidence.; promoted_from=metric_income_002837_20250930_revenue_15eb50b3
metric_cn_002837_invic_operate_profit_20250930_f1d000,company,cn_002837_invic,operate_profit,20250930,437938359.53,CNY,ev_structured_financial_data_002837_20260701_89213a,raw_adapter_snapshot_no_recalculation,false,medium,2026-07-02T16:41:18Z,active,reviewed_r3_candidate,Metric-only candidate generated from structured snapshot; api_params_hash=89213a966157f54a99fb9c7a56582424d1e66d7d9c39990d049c80f5e508f1aa; not business exposure evidence.; promoted_from=metric_income_002837_20250930_operate_profit_6d443a87
metric_cn_002837_invic_total_profit_20250930_24f76a,company,cn_002837_invic,total_profit,20250930,443915209.78,CNY,ev_structured_financial_data_002837_20260701_89213a,raw_adapter_snapshot_no_recalculation,false,medium,2026-07-02T16:41:18Z,active,reviewed_r3_candidate,Metric-only candidate generated from structured snapshot; api_params_hash=89213a966157f54a99fb9c7a56582424d1e66d7d9c39990d049c80f5e508f1aa; not business exposure evidence.; promoted_from=metric_income_002837_20250930_total_profit_16ec74cf
metric_cn_002837_invic_n_income_20250930_ceff9c,company,cn_002837_invic,n_income,20250930,413650525.21,CNY,ev_structured_financial_data_002837_20260701_89213a,raw_adapter_snapshot_no_recalculation,false,medium,2026-07-02T16:41:18Z,active,reviewed_r3_candidate,Metric-only candidate generated from structured snapshot; api_params_hash=89213a966157f54a99fb9c7a56582424d1e66d7d9c39990d049c80f5e508f1aa; not business exposure evidence.; promoted_from=metric_income_002837_20250930_n_income_9855f081
metric_cn_002837_invic_n_income_attr_p_20250930_ac9822,company,cn_002837_invic,n_income_attr_p,20250930,399069661.11,CNY,ev_structured_financial_data_002837_20260701_89213a,raw_adapter_snapshot_no_recalculation,false,medium,2026-07-02T16:41:18Z,active,reviewed_r3_candidate,Metric-only candidate generated from structured snapshot; api_params_hash=89213a966157f54a99fb9c7a56582424d1e66d7d9c39990d049c80f5e508f1aa; not business exposure evidence.; promoted_from=metric_income_002837_20250930_n_income_attr_p_8b50d9f1
