metric_candidate_id,source_evidence_id,source_name,source_type,entity_type,entity_id,segment_id,company_id,stock_code,metric_name,metric_category,period,period_type,value,unit,currency,original_value_text,original_unit_text,table_id,page_no_or_section,calculation_method,is_estimate,is_reported,confidence,review_status,promote_to_metric_id,created_at,notes
metric_company_cn_002837_invic_n_income_20231231_46ee99a8,ev_structured_financial_data_002837_20260713_38e6e4,tushare,structured_financial_data,company,cn_002837_invic,,cn_002837_invic,002837,n_income,income,20231231,unknown,348748744.38,CNY,CNY,348748744.38,CNY,tushare_income,,raw_adapter_snapshot_no_recalculation,false,true,medium,draft,,2026-07-12T17:39:32Z,Metric-only candidate generated from structured snapshot; api_params_hash=38e6e4c336c2bb7892a7e5eb4f92fa2ded11fd4adc1ad1191cfd58eca8858696; not business exposure evidence. unit normalized from source field semantics without value rescaling.
metric_company_cn_002837_invic_n_income_20240331_2280d982,ev_structured_financial_data_002837_20260713_38e6e4,tushare,structured_financial_data,company,cn_002837_invic,,cn_002837_invic,002837,n_income,income,20240331,unknown,61570555.24,CNY,CNY,61570555.24,CNY,tushare_income,,raw_adapter_snapshot_no_recalculation,false,true,medium,draft,,2026-07-12T17:39:32Z,Metric-only candidate generated from structured snapshot; api_params_hash=38e6e4c336c2bb7892a7e5eb4f92fa2ded11fd4adc1ad1191cfd58eca8858696; not business exposure evidence. unit normalized from source field semantics without value rescaling.
metric_company_cn_002837_invic_n_income_20240630_ddf757ab,ev_structured_financial_data_002837_20260713_38e6e4,tushare,structured_financial_data,company,cn_002837_invic,,cn_002837_invic,002837,n_income,income,20240630,unknown,183274959.26,CNY,CNY,183274959.26,CNY,tushare_income,,raw_adapter_snapshot_no_recalculation,false,true,medium,draft,,2026-07-12T17:39:32Z,Metric-only candidate generated from structured snapshot; api_params_hash=38e6e4c336c2bb7892a7e5eb4f92fa2ded11fd4adc1ad1191cfd58eca8858696; not business exposure evidence. unit normalized from source field semantics without value rescaling.
metric_company_cn_002837_invic_n_income_20240930_8109a589,ev_structured_financial_data_002837_20260713_38e6e4,tushare,structured_financial_data,company,cn_002837_invic,,cn_002837_invic,002837,n_income,income,20240930,unknown,351855406.01,CNY,CNY,351855406.01,CNY,tushare_income,,raw_adapter_snapshot_no_recalculation,false,true,medium,draft,,2026-07-12T17:39:32Z,Metric-only candidate generated from structured snapshot; api_params_hash=38e6e4c336c2bb7892a7e5eb4f92fa2ded11fd4adc1ad1191cfd58eca8858696; not business exposure evidence. unit normalized from source field semantics without value rescaling.
metric_company_cn_002837_invic_n_income_20241231_77a9de89,ev_structured_financial_data_002837_20260713_38e6e4,tushare,structured_financial_data,company,cn_002837_invic,,cn_002837_invic,002837,n_income,income,20241231,unknown,454120286.8,CNY,CNY,454120286.8,CNY,tushare_income,,raw_adapter_snapshot_no_recalculation,false,true,medium,draft,,2026-07-12T17:39:32Z,Metric-only candidate generated from structured snapshot; api_params_hash=38e6e4c336c2bb7892a7e5eb4f92fa2ded11fd4adc1ad1191cfd58eca8858696; not business exposure evidence. unit normalized from source field semantics without value rescaling.
metric_company_cn_002837_invic_n_income_20250331_6634f771,ev_structured_financial_data_002837_20260713_38e6e4,tushare,structured_financial_data,company,cn_002837_invic,,cn_002837_invic,002837,n_income,income,20250331,unknown,54381946.57,CNY,CNY,54381946.57,CNY,tushare_income,,raw_adapter_snapshot_no_recalculation,false,true,medium,draft,,2026-07-12T17:39:32Z,Metric-only candidate generated from structured snapshot; api_params_hash=38e6e4c336c2bb7892a7e5eb4f92fa2ded11fd4adc1ad1191cfd58eca8858696; not business exposure evidence. unit normalized from source field semantics without value rescaling.
metric_company_cn_002837_invic_n_income_20250630_24ccbf5c,ev_structured_financial_data_002837_20260713_38e6e4,tushare,structured_financial_data,company,cn_002837_invic,,cn_002837_invic,002837,n_income,income,20250630,unknown,225891956.62,CNY,CNY,225891956.62,CNY,tushare_income,,raw_adapter_snapshot_no_recalculation,false,true,medium,draft,,2026-07-12T17:39:32Z,Metric-only candidate generated from structured snapshot; api_params_hash=38e6e4c336c2bb7892a7e5eb4f92fa2ded11fd4adc1ad1191cfd58eca8858696; not business exposure evidence. unit normalized from source field semantics without value rescaling.
metric_company_cn_002837_invic_n_income_20250930_e120bedf,ev_structured_financial_data_002837_20260713_38e6e4,tushare,structured_financial_data,company,cn_002837_invic,,cn_002837_invic,002837,n_income,income,20250930,unknown,413650525.21,CNY,CNY,413650525.21,CNY,tushare_income,,raw_adapter_snapshot_no_recalculation,false,true,medium,draft,,2026-07-12T17:39:32Z,Metric-only candidate generated from structured snapshot; api_params_hash=38e6e4c336c2bb7892a7e5eb4f92fa2ded11fd4adc1ad1191cfd58eca8858696; not business exposure evidence. unit normalized from source field semantics without value rescaling.
metric_company_cn_002837_invic_n_income_20251231_f9c70e23,ev_structured_financial_data_002837_20260713_38e6e4,tushare,structured_financial_data,company,cn_002837_invic,,cn_002837_invic,002837,n_income,income,20251231,unknown,542679980.86,CNY,CNY,542679980.86,CNY,tushare_income,,raw_adapter_snapshot_no_recalculation,false,true,medium,draft,,2026-07-12T17:39:32Z,Metric-only candidate generated from structured snapshot; api_params_hash=38e6e4c336c2bb7892a7e5eb4f92fa2ded11fd4adc1ad1191cfd58eca8858696; not business exposure evidence. unit normalized from source field semantics without value rescaling.
metric_company_cn_002837_invic_n_income_20260331_4e9edee1,ev_structured_financial_data_002837_20260713_38e6e4,tushare,structured_financial_data,company,cn_002837_invic,,cn_002837_invic,002837,n_income,income,20260331,unknown,14161062.09,CNY,CNY,14161062.09,CNY,tushare_income,,raw_adapter_snapshot_no_recalculation,false,true,medium,draft,,2026-07-12T17:39:32Z,Metric-only candidate generated from structured snapshot; api_params_hash=38e6e4c336c2bb7892a7e5eb4f92fa2ded11fd4adc1ad1191cfd58eca8858696; not business exposure evidence. unit normalized from source field semantics without value rescaling.
metric_company_cn_002837_invic_n_income_attr_p_20231231_88d11197,ev_structured_financial_data_002837_20260713_38e6e4,tushare,structured_financial_data,company,cn_002837_invic,,cn_002837_invic,002837,n_income_attr_p,income,20231231,unknown,344006335.07,CNY,CNY,344006335.07,CNY,tushare_income,,raw_adapter_snapshot_no_recalculation,false,true,medium,draft,,2026-07-12T17:39:32Z,Metric-only candidate generated from structured snapshot; api_params_hash=38e6e4c336c2bb7892a7e5eb4f92fa2ded11fd4adc1ad1191cfd58eca8858696; not business exposure evidence. unit normalized from source field semantics without value rescaling.
metric_company_cn_002837_invic_n_income_attr_p_20240331_a13d6b11,ev_structured_financial_data_002837_20260713_38e6e4,tushare,structured_financial_data,company,cn_002837_invic,,cn_002837_invic,002837,n_income_attr_p,income,20240331,unknown,61975220.35,CNY,CNY,61975220.35,CNY,tushare_income,,raw_adapter_snapshot_no_recalculation,false,true,medium,draft,,2026-07-12T17:39:32Z,Metric-only candidate generated from structured snapshot; api_params_hash=38e6e4c336c2bb7892a7e5eb4f92fa2ded11fd4adc1ad1191cfd58eca8858696; not business exposure evidence. unit normalized from source field semantics without value rescaling.
metric_company_cn_002837_invic_n_income_attr_p_20240630_0319c973,ev_structured_financial_data_002837_20260713_38e6e4,tushare,structured_financial_data,company,cn_002837_invic,,cn_002837_invic,002837,n_income_attr_p,income,20240630,unknown,183466097.22,CNY,CNY,183466097.22,CNY,tushare_income,,raw_adapter_snapshot_no_recalculation,false,true,medium,draft,,2026-07-12T17:39:32Z,Metric-only candidate generated from structured snapshot; api_params_hash=38e6e4c336c2bb7892a7e5eb4f92fa2ded11fd4adc1ad1191cfd58eca8858696; not business exposure evidence. unit normalized from source field semantics without value rescaling.
metric_company_cn_002837_invic_n_income_attr_p_20240930_3d87bb09,ev_structured_financial_data_002837_20260713_38e6e4,tushare,structured_financial_data,company,cn_002837_invic,,cn_002837_invic,002837,n_income_attr_p,income,20240930,unknown,352755913.7,CNY,CNY,352755913.7,CNY,tushare_income,,raw_adapter_snapshot_no_recalculation,false,true,medium,draft,,2026-07-12T17:39:32Z,Metric-only candidate generated from structured snapshot; api_params_hash=38e6e4c336c2bb7892a7e5eb4f92fa2ded11fd4adc1ad1191cfd58eca8858696; not business exposure evidence. unit normalized from source field semantics without value rescaling.
