evidence_id,source_type,source_name,source_group,title,publisher,publish_date,retrieved_at,ingested_at,as_of_date,entity_type,entity_id,segment_id,company_id,stock_code,source_url,raw_file_path,raw_archive_policy,file_hash,content_hash,api_params_hash,processed_text_path,processed_table_path,page_map_path,page_count,language,file_format,ingest_mode,reliability_rank,material_claim_allowed,allowed_claim_types,license_note,stale_after,status,parse_status,candidate_status,review_status,previous_evidence_id,superseded_by,notes
ev_structured_financial_data_002837_20260701_1b506c,structured_financial_data,tushare,structured_database,tushare income snapshot for 002837,tushare,2026-07-01,2026-07-03T06:15:32Z,2026-07-03T06:15:32Z,2026-07-01,company,cn_002837_invic,,cn_002837_invic,002837,,reports/workflow_runs/wf_20260703_data_layer_002837_invic/raw/tushare_income_002837_2026-07-01_1b506c24.csv,snapshot_archived,0b100737f2944af76ab6df3b89003880287eca3e4f9e0cd4799e936a66f83a6b,0b100737f2944af76ab6df3b89003880287eca3e4f9e0cd4799e936a66f83a6b,1b506c247e3aa357af31eafab227d5ae2ede305cb7ccfce031b46b914918b5be,,reports/workflow_runs/wf_20260703_data_layer_002837_invic/normalized/tushare_income_002837_2026-07-01_1b506c24.csv,,,zh-CN,csv,structured_api_pull,B,metric_only,metric_statement,Tushare terms; verify permission before redistribution,90d,active,parsed,generated,draft,,,raw_status=created; structured snapshot is metric-only.
ev_structured_market_data_002837_20260701_daa823,structured_market_data,tushare,structured_database,tushare daily_basic snapshot for 002837,tushare,2026-07-01,2026-07-03T06:15:44Z,2026-07-03T06:15:44Z,2026-07-01,company,cn_002837_invic,,cn_002837_invic,002837,,reports/workflow_runs/wf_20260703_data_layer_002837_invic/raw/tushare_daily_basic_002837_2026-07-01_daa823de.csv,snapshot_archived,52894e2f285fc2bc2c6090fa328d0fb309290ec15aef5925c77f7409f164f5b9,52894e2f285fc2bc2c6090fa328d0fb309290ec15aef5925c77f7409f164f5b9,daa823de68d9ebf49ad71d55601f5237d8cf3333c6c919b650b85ba0673405cd,,reports/workflow_runs/wf_20260703_data_layer_002837_invic/normalized/tushare_daily_basic_002837_2026-07-01_daa823de.csv,,,zh-CN,csv,structured_api_pull,B,metric_only,metric_statement,Tushare terms; verify permission before redistribution,90d,active,parsed,generated,draft,,,raw_status=created; structured snapshot is metric-only.
ev_structured_market_data_002837_20260701_eaca20,structured_market_data,baostock,structured_database_fallback,baostock query_history_k_data_plus snapshot for 002837,baostock,2026-07-01,2026-07-03T06:15:54Z,2026-07-03T06:15:54Z,2026-07-01,company,cn_002837_invic,,cn_002837_invic,002837,,reports/workflow_runs/wf_20260703_data_layer_002837_invic/raw/baostock_query_history_k_data_plus_002837_2026-07-01_eaca2035.csv,snapshot_archived,6abe8b438714b95bce465cbe09d524f77534e38192c9ce47c6b43e1e7f88c16a,6abe8b438714b95bce465cbe09d524f77534e38192c9ce47c6b43e1e7f88c16a,eaca203575496e27053c01faecfb5abe15207aa97c2fe9be3d903d38c0c65356,,reports/workflow_runs/wf_20260703_data_layer_002837_invic/normalized/baostock_query_history_k_data_plus_002837_2026-07-01_eaca2035.csv,,,zh-CN,csv,structured_api_pull,B,metric_only,metric_statement,Baostock terms; verify before redistribution,90d,active,parsed,generated,draft,,,raw_status=created; structured snapshot is metric-only.
