metric_candidate_id,source_evidence_id,source_name,source_type,entity_type,entity_id,segment_id,company_id,stock_code,metric_name,metric_category,period,period_type,value,unit,currency,original_value_text,original_unit_text,table_id,page_no_or_section,calculation_method,is_estimate,is_reported,confidence,review_status,promote_to_metric_id,created_at,notes
metric_income_002837_20251231_operate_profit_f8475834,ev_structured_financial_data_002837_20260701_89213a,local_tushare_fixture,structured_financial_data,company,cn_002837_invic,,cn_002837_invic,002837,operate_profit,income,20251231,unknown,590359558.6,CNY,,590359558.6,CNY,local_tushare_fixture_income,,raw_adapter_snapshot_no_recalculation,false,true,medium,draft,,2026-07-02T16:41:18Z,Metric-only candidate generated from structured snapshot; api_params_hash=89213a966157f54a99fb9c7a56582424d1e66d7d9c39990d049c80f5e508f1aa; not business exposure evidence.
metric_income_002837_20251231_total_profit_44ea9634,ev_structured_financial_data_002837_20260701_89213a,local_tushare_fixture,structured_financial_data,company,cn_002837_invic,,cn_002837_invic,002837,total_profit,income,20251231,unknown,597408857.0,CNY,,597408857.0,CNY,local_tushare_fixture_income,,raw_adapter_snapshot_no_recalculation,false,true,medium,draft,,2026-07-02T16:41:18Z,Metric-only candidate generated from structured snapshot; api_params_hash=89213a966157f54a99fb9c7a56582424d1e66d7d9c39990d049c80f5e508f1aa; not business exposure evidence.
metric_income_002837_20251231_n_income_ee1a8032,ev_structured_financial_data_002837_20260701_89213a,local_tushare_fixture,structured_financial_data,company,cn_002837_invic,,cn_002837_invic,002837,n_income,income,20251231,unknown,542679980.86,CNY,,542679980.86,CNY,local_tushare_fixture_income,,raw_adapter_snapshot_no_recalculation,false,true,medium,draft,,2026-07-02T16:41:18Z,Metric-only candidate generated from structured snapshot; api_params_hash=89213a966157f54a99fb9c7a56582424d1e66d7d9c39990d049c80f5e508f1aa; not business exposure evidence.
metric_income_002837_20251231_n_income_attr_p_c027b560,ev_structured_financial_data_002837_20260701_89213a,local_tushare_fixture,structured_financial_data,company,cn_002837_invic,,cn_002837_invic,002837,n_income_attr_p,income,20251231,unknown,521914773.0,CNY,,521914773.0,CNY,local_tushare_fixture_income,,raw_adapter_snapshot_no_recalculation,false,true,medium,draft,,2026-07-02T16:41:18Z,Metric-only candidate generated from structured snapshot; api_params_hash=89213a966157f54a99fb9c7a56582424d1e66d7d9c39990d049c80f5e508f1aa; not business exposure evidence.
metric_income_002837_20251231_basic_eps_6368317c,ev_structured_financial_data_002837_20260701_89213a,local_tushare_fixture,structured_financial_data,company,cn_002837_invic,,cn_002837_invic,002837,basic_eps,income,20251231,unknown,0.54,CNY,,0.54,CNY,local_tushare_fixture_income,,raw_adapter_snapshot_no_recalculation,false,true,medium,draft,,2026-07-02T16:41:18Z,Metric-only candidate generated from structured snapshot; api_params_hash=89213a966157f54a99fb9c7a56582424d1e66d7d9c39990d049c80f5e508f1aa; not business exposure evidence.
metric_income_002837_20251231_diluted_eps_30d3167f,ev_structured_financial_data_002837_20260701_89213a,local_tushare_fixture,structured_financial_data,company,cn_002837_invic,,cn_002837_invic,002837,diluted_eps,income,20251231,unknown,0.53,CNY,,0.53,CNY,local_tushare_fixture_income,,raw_adapter_snapshot_no_recalculation,false,true,medium,draft,,2026-07-02T16:41:18Z,Metric-only candidate generated from structured snapshot; api_params_hash=89213a966157f54a99fb9c7a56582424d1e66d7d9c39990d049c80f5e508f1aa; not business exposure evidence.
metric_income_002837_20250930_total_revenue_47824fae,ev_structured_financial_data_002837_20260701_89213a,local_tushare_fixture,structured_financial_data,company,cn_002837_invic,,cn_002837_invic,002837,total_revenue,income,20250930,unknown,4026030778.35,CNY,,4026030778.35,CNY,local_tushare_fixture_income,,raw_adapter_snapshot_no_recalculation,false,true,medium,draft,,2026-07-02T16:41:18Z,Metric-only candidate generated from structured snapshot; api_params_hash=89213a966157f54a99fb9c7a56582424d1e66d7d9c39990d049c80f5e508f1aa; not business exposure evidence.
metric_income_002837_20250930_revenue_15eb50b3,ev_structured_financial_data_002837_20260701_89213a,local_tushare_fixture,structured_financial_data,company,cn_002837_invic,,cn_002837_invic,002837,revenue,income,20250930,unknown,4026030778.35,CNY,,4026030778.35,CNY,local_tushare_fixture_income,,raw_adapter_snapshot_no_recalculation,false,true,medium,draft,,2026-07-02T16:41:18Z,Metric-only candidate generated from structured snapshot; api_params_hash=89213a966157f54a99fb9c7a56582424d1e66d7d9c39990d049c80f5e508f1aa; not business exposure evidence.
metric_income_002837_20250930_operate_profit_6d443a87,ev_structured_financial_data_002837_20260701_89213a,local_tushare_fixture,structured_financial_data,company,cn_002837_invic,,cn_002837_invic,002837,operate_profit,income,20250930,unknown,437938359.53,CNY,,437938359.53,CNY,local_tushare_fixture_income,,raw_adapter_snapshot_no_recalculation,false,true,medium,draft,,2026-07-02T16:41:18Z,Metric-only candidate generated from structured snapshot; api_params_hash=89213a966157f54a99fb9c7a56582424d1e66d7d9c39990d049c80f5e508f1aa; not business exposure evidence.
metric_income_002837_20250930_total_profit_16ec74cf,ev_structured_financial_data_002837_20260701_89213a,local_tushare_fixture,structured_financial_data,company,cn_002837_invic,,cn_002837_invic,002837,total_profit,income,20250930,unknown,443915209.78,CNY,,443915209.78,CNY,local_tushare_fixture_income,,raw_adapter_snapshot_no_recalculation,false,true,medium,draft,,2026-07-02T16:41:18Z,Metric-only candidate generated from structured snapshot; api_params_hash=89213a966157f54a99fb9c7a56582424d1e66d7d9c39990d049c80f5e508f1aa; not business exposure evidence.
