ts_code,symbol,name,area,industry,market,list_date
002837.SZ,002837,英维克,深圳,专用机械,主板,20161229
300499.SZ,300499,高澜股份,广东,专用机械,创业板,20160202
300602.SZ,300602,飞荣达,深圳,元器件,创业板,20170126
300731.SZ,300731,科创新源,深圳,橡胶,创业板,20171208
301018.SZ,301018,申菱环境,广东,专用机械,创业板,20210707
